,Alpha,Temp,Beta1,Beta2,Norm,Clean last,Adv last,Clean best,Adv best
0,-,-,-,-,-,84.68,47.33,85.21,50.66
1,0.4,-,6,0.1,-,81.25,54.06,81.8,55.16
2,0,-,6,0,-,80.62,52.17,81.15,54.53
3,0.2,-,6,0.5,-,82.48,52.6,83.39,54.93
4,0.1,-,6,0.2,-,81.53,53.26,82.61,55.02
5,0.4,-,6,0.8,-,82.55,52.7,83.09,53.96
6,0.2,-,6,0.1,-,82.38,52.9,82.38,55.1
7,0.1,-,6,0.8,-,83.73,51.8,83.73,53.9
8,0.4,-,6,0.2,-,81.2,53.82,82.28,54.9
9,0,-,6,0,-,80.07,54.29,80.91,54.29
10,0.2,-,6,0.3,-,82.11,52.76,82.42,54.53
11,0.1,-,6,0.1+,-,83.17,53.63,83.17,55.54
12,0.2,-,6,0.2,-,81.8,53.74,82.58,54.55
13,0.4,-,6,0.4,-,81.83,52.55,82.43,54.47
14,0.1,-,6,0.5,-,82.73,52.44,83.01,54.54
